"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.10126582278481,0.108440913604767,0.0994011976047904,0.0985122637716124,0.0983409954027583,0.101161858974359,0.102564102564103,0.100099304865938,0.104290822407628,0.0988023952095808,0.099001996007984,0.104737157705377,0.0954206173088562,0.0943056943056943,0.0952192809166337
"2",0.194620253164557,0.190863952333664,0.199800399201597,0.184961801367109,0.198880671597042,0.201121794871795,0.199165175909362,0.199006951340616,0.196662693682956,0.190419161676647,0.198003992015968,0.203477913252049,0.212628606011701,0.194805194805195,0.195772421967602
"3",0.301028481012658,0.290764647467726,0.29500998003992,0.300965018094089,0.298221067359584,0.305488782051282,0.301729278473465,0.294339622641509,0.294398092967819,0.296407185628743,0.287425149700599,0.297421547071757,0.297760742384507,0.297902097902098,0.291584354010273
"4",0.39932753164557,0.402979145978153,0.382435129740519,0.414555689585846,0.388766739956026,0.412059294871795,0.403895845756311,0.401986097318769,0.40067540723083,0.402594810379241,0.410379241516966,0.406755946432141,0.404478515230986,0.407392607392607,0.413472935598578
"5",0.509493670886076,0.502681231380338,0.494211576846307,0.496582227583434,0.503098141115331,0.510416666666667,0.501490757304711,0.499503475670308,0.498013508144617,0.503193612774451,0.487824351297405,0.501299220467719,0.503933830946137,0.506293706293706,0.492888186487554
"6",0.611155063291139,0.581529294935452,0.598203592814371,0.593285082428629,0.584649210473716,0.591346153846154,0.610017889087657,0.591658391261172,0.599523241954708,0.599600798403194,0.595409181636727,0.597841295222866,0.603389146661287,0.604795204795205,0.596602133544054
"7",0.696598101265823,0.706653426017875,0.701796407185629,0.704664254121431,0.704977013791725,0.692508012820513,0.697276883323395,0.701688182720953,0.700039729837108,0.698203592814371,0.694810379241517,0.69518289026584,0.693766390962276,0.692907092907093,0.697155274595022
"8",0.794501582278481,0.794041708043694,0.796207584830339,0.789505428226779,0.794323405956426,0.798477564102564,0.79646193599682,0.802979145978153,0.793802145411204,0.801197604790419,0.804191616766467,0.806915850489706,0.801694573330644,0.794805194805195,0.804425128407744
"9",0.899723101265823,0.895531281032771,0.903193612774451,0.90691596300764,0.896861882870278,0.897435897435897,0.89405684754522,0.902284011916584,0.898092967818832,0.899600798403194,0.896207584830339,0.901858884669199,0.89328222715352,0.903296703296703,0.902805215329909
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
