"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.104946925695974,0.11005164878824,0.0981644054269753,0.104723618090452,0.103992015968064,0.0987166831194472,0.094764085208043,0.104278606965174,0.10210505606925,0.101786789801245,0.096,0.100744017695556,0.101755786113328,0.102180936995153,0.0966713175204305
"2",0.203284598437813,0.205005959475566,0.190143655227454,0.206231155778894,0.196407185628743,0.197630799605133,0.199482381047183,0.199601990049751,0.18925831202046,0.192130094358563,0.1966,0.195455459481198,0.198124501197127,0.200928917609047,0.193143312736695
"3",0.295814139795714,0.296583234008741,0.297685554668795,0.294673366834171,0.302594810379242,0.305824284304047,0.30798327692614,0.303681592039801,0.290773165453472,0.291708492270628,0.3088,0.305449426905289,0.294493216280926,0.302100161550889,0.298784133944588
"4",0.411776487081915,0.40305919745729,0.394852354349561,0.394974874371859,0.398003992015968,0.404935834155972,0.404738204260402,0.403582089552239,0.40901042691324,0.417787592852841,0.4072,0.395736979690328,0.409616919393456,0.411348949919225,0.40163444289416
"5",0.487482475465652,0.484108065156933,0.506983240223464,0.49748743718593,0.503193612774451,0.502073050345508,0.500895878956799,0.503482587064677,0.491245327562463,0.499698855651476,0.4886,0.497084254976875,0.494413407821229,0.505654281098546,0.492924058202113
"6",0.601041458041258,0.603098927294398,0.591380686352753,0.601005025125628,0.609181636726547,0.594471865745311,0.597451722078439,0.5918407960199,0.597088333661224,0.591447500501907,0.6,0.604464106173336,0.608140462889066,0.607431340872375,0.580825194339247
"7",0.695974364109754,0.696265395311879,0.705506783719074,0.704522613065327,0.700798403193613,0.698321816386969,0.696197491538921,0.699303482587065,0.698799921306315,0.701064043364786,0.6914,0.683691936456867,0.70171588188348,0.692851373182553,0.699621287622085
"8",0.797516523132385,0.805721096543504,0.791899441340782,0.8,0.80938123752495,0.798420533070089,0.793748755723671,0.808557213930348,0.794019279952784,0.800843204175868,0.7952,0.80394128292781,0.801476456504389,0.805331179321486,0.801275662746661
"9",0.907270178249549,0.896503774334525,0.894852354349561,0.890050251256281,0.901197604790419,0.905824284304047,0.902846904240494,0.895721393034826,0.903206767656896,0.904236097169243,0.9,0.896038608485823,0.903232242617718,0.896607431340872,0.903926649392067
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
