"","Nh_real_1","Nh_PIMLE_1","Nh_MLE_1","Nh_MoS_1","Nh_GNSUM_1","Nh_MLE_mod_1","Nh_TEO_1","Nh_Zheng_1","Nh_real_2","Nh_PIMLE_2","Nh_MLE_2","Nh_MoS_2","Nh_GNSUM_2","Nh_MLE_mod_2","Nh_TEO_2","Nh_Zheng_2","Nh_real_3","Nh_PIMLE_3","Nh_MLE_3","Nh_MoS_3","Nh_GNSUM_3","Nh_MLE_mod_3","Nh_TEO_3","Nh_Zheng_3","Nh_real_4","Nh_PIMLE_4","Nh_MLE_4","Nh_MoS_4","Nh_GNSUM_4","Nh_MLE_mod_4","Nh_TEO_4","Nh_Zheng_4","Nh_real_5","Nh_PIMLE_5","Nh_MLE_5","Nh_MoS_5","Nh_GNSUM_5","Nh_MLE_mod_5","Nh_TEO_5","Nh_Zheng_5","Nh_real_6","Nh_PIMLE_6","Nh_MLE_6","Nh_MoS_6","Nh_GNSUM_6","Nh_MLE_mod_6","Nh_TEO_6","Nh_Zheng_6","Nh_real_7","Nh_PIMLE_7","Nh_MLE_7","Nh_MoS_7","Nh_GNSUM_7","Nh_MLE_mod_7","Nh_TEO_7","Nh_Zheng_7","Nh_real_8","Nh_PIMLE_8","Nh_MLE_8","Nh_MoS_8","Nh_GNSUM_8","Nh_MLE_mod_8","Nh_TEO_8","Nh_Zheng_8","Nh_real_9","Nh_PIMLE_9","Nh_MLE_9","Nh_MoS_9","Nh_GNSUM_9","Nh_MLE_mod_9","Nh_TEO_9","Nh_Zheng_9","Nh_real_10","Nh_PIMLE_10","Nh_MLE_10","Nh_MoS_10","Nh_GNSUM_10","Nh_MLE_mod_10","Nh_TEO_10","Nh_Zheng_10","Nh_real_11","Nh_PIMLE_11","Nh_MLE_11","Nh_MoS_11","Nh_GNSUM_11","Nh_MLE_mod_11","Nh_TEO_11","Nh_Zheng_11","Nh_real_12","Nh_PIMLE_12","Nh_MLE_12","Nh_MoS_12","Nh_GNSUM_12","Nh_MLE_mod_12","Nh_TEO_12","Nh_Zheng_12","Nh_real_13","Nh_PIMLE_13","Nh_MLE_13","Nh_MoS_13","Nh_GNSUM_13","Nh_MLE_mod_13","Nh_TEO_13","Nh_Zheng_13","Nh_real_14","Nh_PIMLE_14","Nh_MLE_14","Nh_MoS_14","Nh_GNSUM_14","Nh_MLE_mod_14","Nh_TEO_14","Nh_Zheng_14","Nh_real_15","Nh_PIMLE_15","Nh_MLE_15","Nh_MoS_15","Nh_GNSUM_15","Nh_MLE_mod_15","Nh_TEO_15","Nh_Zheng_15","data"
"1",1000,1050.08487561177,1037.29677123884,1046.76048440488,1033.03876852908,1034.25739183378,1037.06818463376,1029.18361375035,1000,1032.52189583047,1008.00957728815,1037.27147440783,1007.52136752137,1010.76965290163,1009.0924200497,1008.81189984735,1000,887.66456223003,879.98291571754,890.41117938549,893.983222447209,881.038221559993,882.732671035161,880.183280326531,1000,1052.91213705221,1026.28328497975,1054.45515126926,1014.13567981834,1029.2970925699,1026.90803497398,1055.6246078716,1000,1085.53333787648,1069.97459102978,1086.93984787769,1108.48861283644,1067.73103593671,1070.23097176524,1066.82961886393,1000,1037.9705622114,1014.02988479526,1041.2921030882,994.685314685315,1011.74872820112,1014.63801736987,999.702552788337,1000,1040.08470807737,1017.17437274961,1042.84339839198,1016.12903225806,1017.27514870689,1022.53963171381,1014.53386961808,1000,1004.82419680608,987.514351320322,1010.34727825003,981.037924151697,990.366439900594,986.925296217066,993.038944110236,1000,985.994899129214,960.706376696383,990.556191818561,979.675738274464,964.37528499772,962.585379183301,967.687453471933,1000,994.834150401983,976.270606354458,990.992438680157,974.380871050384,976.420987774057,974.289679822062,1018.92662525223,1000,957.174580787487,938.700379555378,960.199018073251,960.940695296524,941.329436207781,938.391025802551,937.485587226568,1000,1016.74715392683,992.135407762011,1018.97320498046,978.858588698341,992.056255840988,992.164651308071,983.896818272734,1000,973.921097636103,957.928341361913,977.163279462371,957.73724707894,953.05301009383,959.57432738001,969.623883216616,1000,975.205625394598,965.648201027984,977.084963834527,962.350597609562,963.4106966497,966.909051417756,964.120747376558,1000,1003.73801058005,981.397459165154,1008.43697637971,988.517566409597,984.70550074642,982.888832113479,984.691917184079,0
"2",1000,1050.80845096084,1036.36103151862,1045.16735512431,1038.74210224009,1032.12998862352,1036.86544682087,1021.98728289585,1000,1030.65858749012,1006.35298788962,1034.02914534043,1003.19479785129,1007.92523576866,1007.01772924423,994.126661191412,1000,888.194903961254,877.24039829303,889.825739502398,890.412936760035,877.180505456242,876.54675925258,874.055399468467,1000,1052.90784556166,1026.4253913543,1055.7906618353,1018.9620758483,1028.93159267727,1028.96562744183,1050.21639187817,1000,1091.57139484757,1074.175432595,1091.42981399958,1091.57010428737,1072.15006667565,1073.99667827891,1072.67217756313,1000,1029.26182998178,1001.70459388051,1032.80027520175,987.92378817596,1000.1683068707,1001.18050037786,993.916710056504,1000,1040.35148222368,1015.2580147437,1043.93923288078,1012.88483466363,1015.68172333164,1016.37001177553,1025.54139380974,1000,1015.51350283542,991.960812563031,1020.03939333986,993.822170900693,993.694038682464,994.261121669288,1001.31990983863,1000,988.939748701342,960.370106761566,993.315670872046,985.192757009346,963.550394564456,960.085169675447,972.267281060388,1000,993.287432919853,970.090325512697,989.373196727467,967.507082152974,970.253844216204,971.42530424958,1019.8134071117,1000,946.662116678044,928.874100617126,949.886805355018,948.649433633459,931.036448633651,929.382684706109,930.773198969262,1000,1018.73099093037,992.647477913936,1020.64382129987,980.354629890234,992.960637343591,991.600230283683,988.880211576735,1000,968.051942355049,955.151721980491,972.668039293244,957.138785978911,950.642234034724,955.930699721961,959.673931897347,1000,973.687529735401,959.699960070732,975.652715768539,954.581560283688,959.074472754635,959.599383805863,966.709810820474,1000,1002.97303255364,976.698150557095,1006.84509809132,994.185377086931,980.68797891995,976.223425073754,983.437999700391,0.111111111111111
"3",1000,1048.52987346151,1021.88327025412,1041.98493638443,1028.64508736752,1017.2055316039,1021.55997803766,1005.13347800924,1000,1040.73568015938,1006.37577206615,1042.89325833365,993.174157303371,1009.96530330095,1009.95891209219,1003.67746787596,1000,891.416451095072,872.925651937962,895.640649539163,893.625730994152,874.397508206477,875.345615669376,871.051563894613,1000,1059.93047079412,1019.96448212649,1062.12271809486,997.730456710563,1020.82218484825,1021.09819401429,1055.36661729809,1000,1083.89585142736,1059.969715151,1085.09951894798,1115.78947368421,1060.35749195443,1064.09276705236,1063.72877456125,1000,1044.56795671789,1011.02380335607,1045.52783821311,959.464627151052,1007.52262140601,1015.95347251901,987.28312838218,1000,1044.78655181433,1018.00720288115,1050.03239543434,1024.62600690449,1019.89817054429,1020.01812388674,1034.50611910398,1000,999.908651213706,970.678924227717,1002.05222737516,974.183381088825,970.512674126513,971.37288715113,977.90242808445,1000,971.637822660895,940.804760555398,971.793570434305,958.458429561201,943.371029152697,941.229789858759,949.674176036272,1000,979.920657164927,955.806340454859,971.816185217733,968.713620488941,955.453322438107,956.599052461934,987.443259527967,1000,933.257606326075,911.655742376745,936.366272382206,911.396011396011,913.371948050959,912.084318410661,884.485069040208,1000,997.637263667532,977.303988995873,1001.76123504102,968.863636363636,977.931730592769,976.649164749499,985.070329794213,1000,983.977412936194,961.605634609328,984.929574963923,950.367855121675,956.510017163601,960.599961722961,968.791290333567,1000,964.077175504223,944.823434991974,963.36006121915,935.917092561045,942.333091291645,943.356501123525,943.978463224957,1000,1014.20810065792,979.848579723345,1017.65591519418,980.239179954442,980.094063521346,981.57330138621,969.016670949651,0.222222222222222
"4",1000,1068.57532655642,1031.40096618357,1060.63447795978,1013.79310344828,1026.74984685202,1032.10446675133,1008.40694907005,1000,1057.87741042372,1023.19815326741,1062.11478577551,1016.79410931747,1027.90671929516,1023.52426498784,1034.30999039454,1000,915.666564569807,894.571848169905,916.779037548653,917.052692530399,897.914174429219,895.213447324882,900.047140229017,1000,1070.56476062176,1018.93798737468,1074.29410583326,1014.56200227531,1024.71197450668,1018.78953125899,1061.56010180534,1000,1078.93051236421,1042.79966901589,1076.37748752253,1079.99408983452,1039.91160262916,1041.98195484689,1055.82200756219,1000,1022.39623122712,985.881403791852,1024.55995409924,931.047619047619,984.096914103395,987.759047458193,975.81992770019,1000,1054.71870808077,1015.79859631177,1062.89192472488,1014.15602836879,1021.41945560868,1016.07314069151,1048.77910209928,1000,1030.45039984098,987.332619949678,1034.61544611714,956.810538116592,992.249338771714,988.106757217092,997.943943412628,1000,1000.27501061241,966.03141242296,1008.24948291169,1000.38235294118,969.628033205619,968.413986773368,973.157202660525,1000,979.261044032637,942.548657479756,972.448464805674,904.142818206596,938.863804889462,941.595779498426,970.248454577181,1000,956.924606124791,925.326535288726,955.804103722266,931.248198328048,924.565597745516,924.691667079401,923.087115449567,1000,1020.63011246999,974.065036036547,1017.95324232588,953.820505696027,977.344853242632,973.007674970293,1012.72387159958,1000,1011.58119178577,982.195163976796,1008.19316341596,983.38125359402,974.693644913081,981.81779910363,971.231842466311,1000,986.999097944308,955.970149253731,990.824947737239,954.053279862504,956.081747008357,955.605336935798,967.77704655602,1000,996.35094359499,963.706124769078,999.380599477418,981.702374059062,969.884423155032,961.436719353288,980.507660310938,0.333333333333333
"5",1000,1118.23878962253,1079.67150474778,1109.5746333951,1049.41796008869,1076.04877549706,1080.05531250793,1071.00737037789,1000,1035.30612576993,994.985301746498,1039.96498580538,961.40350877193,992.190613408541,997.630725194799,978.750667600905,1000,902.019176656247,861.848672389699,895.426496119848,823.630417007359,863.069567651242,860.545934800979,848.612300694784,1000,1091.48275516139,1041.21505989732,1092.41124143386,1013.18345822925,1044.9366158614,1039.48061541879,1074.04772953575,1000,1081.17779240294,1050.15788880117,1085.38452200146,1132.12765957447,1048.7897821345,1049.25648734446,1037.03892539486,1000,1073.21475459591,1024.55716586151,1078.8255119259,990.547678621073,1022.37967980932,1023.34487639096,1003.31071619506,1000,1136.67053934372,1086.93252781086,1134.52392403824,1006.50887573964,1083.61308605702,1085.89234138775,1075.91615050558,1000,1022.18732828222,973.913043478261,1029.09697938322,968.373151308305,974.386858598289,975.631376779914,963.347777119043,1000,1024.62152742191,982.353953862045,1032.68349834037,981.565366972477,986.937688334051,984.313704190509,972.077414211333,1000,1010.41943769132,971.204188481675,1002.86162984975,976.036602802402,968.010905673862,972.072667347093,992.793030431365,1000,937.834871144191,891.434634244258,938.178621674103,904.743888242142,891.17738119355,891.079568215275,903.024833455946,1000,1029.48378417878,983.541302015696,1028.64081952858,950.586630286494,978.819726049976,984.429098086172,970.879390670907,1000,954.196232136967,914.8,951.43721910756,899.129458017411,907.642589862796,915.308946201882,928.137077570488,1000,1018.79090928951,983.132530120482,1017.00056392141,951.207327227311,978.519695830518,982.847314336663,960.195257270646,1000,977.659024744968,938.909458094918,976.474965031112,992.999110056363,939.923587100784,942.555232342921,930.856788356268,0.444444444444444
"6",1000,1010.96769259888,969.461505499214,999.723672694936,1006.40569395018,970.65570363195,969.912069221931,978.222962866037,1000,1080.01670764216,1022.81024479977,1087.90668484496,1040.92741935484,1028.44508186925,1025.17833889745,1008.33199253534,1000,868.642752526624,842.211460855529,873.752390362184,842.502883506344,843.122015782447,841.166234799734,842.856122218212,1000,1069.27469659322,1021.27598648416,1068.46568411122,1002.38898257448,1021.29938260999,1021.75425417231,1055.67863853803,1000,1111.30289597525,1054.8440820077,1110.37345522274,1127.909118821,1053.60167952184,1055.5030905281,1041.20953963982,1000,1038.63822329296,998.078632674715,1049.70500603508,942.686890574214,998.98008584118,998.355007051443,983.733355916886,1000,1081.67029831717,1013.9723387371,1082.96875286342,993.805555555556,1016.35932176426,1015.37405049244,988.773764564664,1000,1072.38923288537,1006.39107573425,1075.17111150124,941.897770527461,1007.48764499799,1008.02649036045,988.643249838354,1000,999.483789072772,936.254193803039,996.696502619164,958.937337568582,942.26873159188,934.782628564268,946.357363719595,1000,1092.00397368822,1035.15715276173,1088.1380527151,1026.43941564022,1034.59327113525,1035.2080011969,1096.349212971,1000,1006.07683383895,930.704112566493,1012.05837407759,945.742516710259,940.00758715114,931.607015543136,960.249227290979,1000,1077.72062082798,1018.46615010463,1071.84489412165,992.422154863599,1015.66862383458,1016.5740333437,997.292974985718,1000,1074.3182527326,1018.8253442267,1068.19584491412,984.405189069832,1014.00914356766,1018.9685900678,1031.02210841386,1000,1013.30993796899,976.037023366741,1013.24604468192,944.423076923077,980.183622262774,975.850819024818,988.726696386089,1000,1015.07471955117,969.887817358788,1012.18595110004,962.5,974.162405584716,968.055284852889,977.272114205326,0.555555555555556
"7",1000,1039.60226825118,985.695931477516,1030.09573544107,984.992867332382,979.860133508923,986.622945686095,995.527019323519,1000,1076.42321786714,1003.86657433056,1080.23743887923,1018.44262295082,1004.98786734969,1002.64750877706,1005.16058242852,1000,923.019111474276,876.698837896396,924.549614318667,880.389940661204,875.660696586393,880.24289407861,864.976587215477,1000,1153.94136376177,1078.04793129461,1143.4702629698,1009.67391304348,1076.19941376154,1078.33411512675,1082.88853151965,1000,1130.58948579523,1082.01766885152,1123.27646363556,1105.97145353918,1080.91078006943,1083.66201508659,1090.06435968431,1000,1077.74252526651,1018.81067961165,1077.36009190433,934.508348794063,1014.05023803726,1018.69486988168,979.909710336519,1000,1113.12735439011,1040.29261830016,1104.72379876237,1022.07130730051,1037.18195862375,1038.93097384669,1028.20484383741,1000,1035.89412105044,998.603630560543,1043.15875196992,1001.2,1001.25721469798,998.762211219697,1018.26824550868,1000,1007.30185886476,953.560992379534,1006.49359043284,989.741302408564,956.601127362883,953.75431725451,956.070429902722,1000,1038.36507191289,996.643525159217,1032.05687477524,934.651600753296,991.980248530442,996.028824842556,1005.22438972971,1000,955.674764369125,912.356889064351,958.009839688151,949.075975359343,913.858425476786,912.241875347482,926.105169998489,1000,1057.13568098624,977.981020098053,1044.21434703355,919.433962264151,975.15351570987,977.71449987631,952.584785495553,1000,965.165593128789,919.492371310423,964.637005803673,920.673900628212,916.097771648949,920.938124806673,953.638149986356,1000,946.87951289526,920.618440989955,947.464939840282,922.378408771437,920.854438255123,921.27756335202,910.192083625047,1000,1021.12531515647,980.131320883431,1021.63011220731,980.437873187376,982.208473620345,983.176639400416,966.014346536019,0.666666666666667
"8",1000,1055.73502931196,1014.62262809024,1052.92797376837,1017.25613234455,1013.1603368016,1017.26476099286,1004.04238408718,1000,1060.67455609651,1007.74432179391,1055.82331605867,968.991386496249,1010.99296125793,1008.12444042922,1015.79956603595,1000,914.650526943682,871.710805234448,906.170165261612,882.20823798627,870.321806299171,873.556322665085,863.430178363935,1000,1085.54641991873,1005.81791349756,1082.2914733037,965.694822888283,1010.64608423714,1006.35898212705,1052.22245817131,1000,1096.29114354664,1073.00423131171,1094.64319340954,1105.43446672479,1072.21582249817,1075.82226002772,1066.82653585248,1000,1004.79779635319,954.209791007328,997.520204972127,995.745313894674,949.043309594884,953.379308682662,909.602699026047,1000,1059.8350023787,1000.88103222873,1051.84765898474,1041.30691898285,1002.12849508568,1000.03155273852,1010.46080081996,1000,1077.54593793442,1030.94281562527,1082.30074206814,1095.7904300424,1036.7027677497,1033.43625328636,1001.99596650833,1000,1039.72015955552,958.238051680768,1032.10170860831,962.751292360712,960.526064449581,959.555509050936,954.133479902201,1000,1010.08842243551,933.031062547523,1003.42394566422,924.930206588498,933.707719507223,932.844406762228,963.059986457931,1000,1012.81600868366,948.765626340933,1011.59801031242,947.058823529412,955.328149813827,947.528067662296,947.032605251906,1000,1081.60861798267,1011.68057890089,1072.95725093896,1005.97733711048,1005.22745072137,1023.7979265081,960.396604613327,1000,1069.61645215104,1005.99040399739,1066.98449505746,1044.01885680613,1004.66693507687,1006.22625653942,1040.94973781375,1000,1026.2158043232,980.068060281964,1019.80528908255,955.183946488294,973.487021877326,980.542351943027,914.481229750088,1000,1058.46315706943,996.134237212169,1058.54870852285,1003.66920688682,1003.00864986837,998.473961250307,1002.04647095865,0.777777777777778
"9",1000,1048.53547411967,1028.75529016175,1048.80212706195,959.707950243375,1026.40483558435,1028.77000734107,1029.55022106167,1000,1072.06920064964,997.810073661159,1076.42665408567,1012.23312175418,1000.38779141384,998.427220108917,1038.22199937042,1000,941.855028298739,902.164625462831,943.291721234694,860.733695652174,903.937658028564,904.23982426175,871.920735956435,1000,1105.38810640786,1029.75305819138,1097.52312510746,1018.63160870794,1030.89823877368,1031.76007471303,1019.40119233804,1000,1203.33073461177,1141.69935394555,1204.05878672715,1140.12096774194,1138.27629571125,1143.17959128105,1123.05854428805,1000,1059.56640737119,1006.33450744234,1055.79920732281,953.620457604307,1001.97413822361,1008.04428414142,1005.33132810986,1000,1103.36119553155,1050.45148344561,1106.37544504908,1042.5320056899,1057.19539098006,1049.99520555817,1114.64341223355,1000,1047.33648206648,994.538852578068,1058.4202637565,932.634159629529,996.196044351679,993.242921112683,1012.97805097574,1000,986.460624157627,931.539851435455,989.164955452702,952.492668621701,937.83746845482,931.57763065677,954.392582643944,1000,1065.69888439561,1006.14523527884,1047.18010415796,971.962095875139,996.411387558715,1007.39306633756,989.48298216339,1000,1027.49560758876,970.319041432077,1029.56539995523,983.523558677202,973.476363355477,972.183933409891,949.301669666848,1000,1023.68778299778,969.618229062562,1020.76598602345,838.444444444444,965.709908786006,970.326137925028,965.976559698349,1000,1044.2728423309,995.043299908842,1050.4291048891,983.112862369828,991.272563535473,997.013207037812,1042.57908387174,1000,1068.1725869197,1019.54834568478,1055.40882427391,941.632983023444,1012.68757498652,1017.92074241107,1010.65840896651,1000,1066.63839031651,998.759305210918,1061.81590722215,1042.99175500589,999.920954865228,999.924198879781,992.741890448772,0.888888888888889
"10",1000,1064.9718603829,996.482223695972,1050.33805276904,948.380900109769,987.823352865514,1000.53137477149,932.249281588441,1000,1070.31736786586,1005.75297091554,1077.90550337027,958.864265927978,1009.99834657693,1002.91706588732,1042.5679306694,1000,934.992005934966,885.746639180047,934.235432848162,842.009384487993,883.963705697016,890.883742692535,858.831539071759,1000,1058.88490499766,979.588306521363,1056.24756606671,975.258323765786,982.86205759444,981.127233749178,992.66985272524,1000,1155.83074478964,1075.52340858362,1158.36794683459,1110.44340723454,1077.59580579534,1074.59492249342,1091.16469110968,1000,1150.51233079177,1060.86463501063,1149.3957200639,995.001329433661,1062.97400937367,1061.25398975237,1070.00513086425,1000,1056.71643398119,977.651396073276,1056.90276677098,946.830888458345,979.003701301179,979.11527175877,990.677851347089,1000,1071.9750546029,995.527009978208,1073.29128916355,1000.2881014117,1001.7619315078,994.864721645445,1005.63527352938,1000,1021.17432147344,956.971999437175,1035.4349422874,1023.35239241649,966.050271203903,957.533840841188,946.666557939336,1000,1066.49434416567,995.769642957866,1062.03415527282,1008.8,997.63034068091,995.958169349291,1019.09273324904,1000,983.471939594368,924.945446192718,980.053110505647,890.381426202322,925.5903581225,926.883851982156,939.204095302221,1000,1097.47467194777,1006.27797477184,1110.26083865731,957.996679579413,1017.22702655058,1006.76116005116,1078.24578357986,1000,1038.89068661793,983.955842818738,1032.50950062673,998.983739837398,979.196985422331,987.80057265968,984.390032604289,1000,1015.12977339816,956.967562347327,1012.2637311126,959.310933940774,959.830204267685,963.929306677841,962.253354754389,1000,1016.55900016709,942.315279265062,1022.43336366413,921.184573002755,951.052332195677,943.472687851391,973.552865120907,1
