"","Nh_real_1","Nh_basic_sum_1","Nh_basic_mean_1","Nh_real_2","Nh_basic_sum_2","Nh_basic_mean_2","Nh_real_3","Nh_basic_sum_3","Nh_basic_mean_3","Nh_real_4","Nh_basic_sum_4","Nh_basic_mean_4","Nh_real_5","Nh_basic_sum_5","Nh_basic_mean_5","Nh_real_6","Nh_basic_sum_6","Nh_basic_mean_6","Nh_real_7","Nh_basic_sum_7","Nh_basic_mean_7","Nh_real_8","Nh_basic_sum_8","Nh_basic_mean_8","Nh_real_9","Nh_basic_sum_9","Nh_basic_mean_9","Nh_real_10","Nh_basic_sum_10","Nh_basic_mean_10","Nh_real_11","Nh_basic_sum_11","Nh_basic_mean_11","Nh_real_12","Nh_basic_sum_12","Nh_basic_mean_12","Nh_real_13","Nh_basic_sum_13","Nh_basic_mean_13","Nh_real_14","Nh_basic_sum_14","Nh_basic_mean_14","Nh_real_15","Nh_basic_sum_15","Nh_basic_mean_15","data"
"1",1000,1030.72052879925,1034.60130844888,1000,1009.51162976581,1007.85347873169,1000,882.223643193989,881.424539284015,1000,1020.49385184445,1023.91482325324,1000,1070.24347339384,1068.95303271361,1000,1012.29500029891,1008.64166304314,1000,1019.9987964616,1022.66425746417,1000,984.181017220665,983.799649071435,1000,965.718395397155,966.651677761584,1000,977.296346630426,975.377428889428,1000,939.086294416244,938.621544153784,1000,997.613269419764,998.857690363036,1000,961.064958462616,959.417268895981,1000,967.767783809772,967.221188928045,1000,986.137428941857,983.677379766624,0
"2",1000,1033.91347588265,1051.94069699973,1000,1008.18310958164,1022.0215160999,1000,878.76370887338,882.564897418163,1000,1007.27576335878,1017.42610066723,1000,1087.33013589129,1101.71827972628,1000,1001.05541947946,1015.23595799954,1000,1009.19088136137,1042.16772828316,1000,983.761405201174,994.864845268922,1000,960.785482877189,970.655161216466,1000,993.781319809213,1000.31554385802,1000,948.41628959276,955.041826914647,1000,974.583945424909,984.259606781367,1000,969.895630140568,982.539064180346,1000,964.499401675309,980.352707337544,1000,995.624288197566,1001.98568681185,0.111111111111111
"3",1000,1009.2049223764,1069.03618076987,1000,992.156158313873,1039.70140474552,1000,877.426533410161,936.412570060167,1000,1031.23170411645,1097.44171188062,1000,1065.4033741105,1100.77947390737,1000,1021.6476247745,1063.18472925574,1000,1035.31737227455,1093.49480698566,1000,1009.74888019619,1058.76110372222,1000,971.1197096015,1010.34610090301,1000,993.542970233692,1048.59748295371,1000,915.452472990386,967.96403472042,1000,1002.02574123713,1045.84018523852,1000,979.504435607219,1037.08600757128,1000,939.219956444268,971.632722177904,1000,1015.10525145087,1072.84316436279,0.222222222222222
"4",1000,979.666917204003,1134.91342368111,1000,1017.65873015873,1174.32850254146,1000,837.301510174729,952.093303213624,1000,1034.27160493827,1164.93406253016,1000,1059.0562864774,1203.64582343172,1000,1040.12154408972,1195.44794992634,1000,1038.26030085023,1183.65428568645,1000,978.975032851511,1117.70491216277,1000,1014.9790778063,1113.26977855028,1000,979.219462747086,1094.57513716255,1000,969.431250761174,1130.66229883297,1000,1018.2453182393,1165.85359783763,1000,909.410249404785,1017.11432609587,1000,944.205164513147,1114.97180038954,1000,987.025487797541,1134.53350259465,0.333333333333333
"5",1000,1018.80785331054,1261.18285297424,1000,1019.78384688148,1267.80441641606,1000,888.531833701546,1132.12116179453,1000,1034.65307412676,1224.51640776089,1000,1073.13039026503,1261.39437341305,1000,1034.60151533568,1284.88181482872,1000,1051.01525406607,1367.59550594207,1000,987.859474888077,1187.82601236397,1000,978.519804578673,1235.85651165955,1000,1029.00383454353,1271.91930863742,1000,943.570211486419,1151.94607503609,1000,1031.11514876221,1294.98054385618,1000,934.232979620658,1122.39825471616,1000,965.671932904232,1149.21600178581,1000,1004.14971855869,1276.30143731473,0.444444444444444
"6",1000,1058.31315577078,1346.96505169827,1000,1024.17042195821,1397.62007522087,1000,920.5745669624,1225.38517998337,1000,997.333545588411,1410.74352184973,1000,1105.79489511457,1873.142251238,1000,1002.32960993967,1269.17487316302,1000,1062.85296388088,1468.62801859318,1000,965.069502529175,1232.65604164282,1000,942.307692307692,1293.46671628945,1000,1004.15343268996,1264.75328041701,1000,909.603836698505,1306.21698832419,1000,993.688331402549,1769.13111967254,1000,965.47005795235,1290.82133302302,1000,972.532935620184,1651.36311901571,1000,1015.01344787443,1453.08410466672,0.555555555555556
"7",1000,1041.62986515928,1386.61667151025,1000,1003.44082579819,1295.3581665145,1000,869.385016183785,1165.68080141974,1000,1054.43894556105,1400.34579694044,1000,1084.12922184937,1505.20088141709,1000,1032.91918021653,1386.39317953439,1000,985.558157689305,1297.96121442425,1000,949.886013678359,1358.81114547377,1000,984.78893168776,1331.87615516464,1000,1002.2729085254,1539.16580386271,1000,902.890105821137,1305.55526661729,1000,1008.88438375768,1293.78819096152,1000,940.803173029251,1419.55785468801,1000,957.466063348416,1321.74432637808,1000,1079.22191279771,1443.71842975592,0.666666666666667
"8",1000,984.738444395806,1343.15610224972,1000,1030.52885110237,1413.43382555239,1000,886.473381952586,1310.09615044331,1000,1016.32768819383,1481.65759548954,1000,1057.68087215064,1484.67087185356,1000,1008.44352397642,1298.67937661397,1000,1013.7347281003,1489.14122013323,1000,959.341800463296,1287.4792172069,1000,972.494889595013,1394.11798506378,1000,920.751994227763,1340.0740596647,1000,927.717700626067,1307.38873879779,1000,1006.81041974011,1415.35028636672,1000,988.580683518872,1461.86476858448,1000,958.928930944232,1344.86087978419,1000,1037.15428190603,1638.87352936915,0.777777777777778
"9",1000,1076.80321482757,1646.58040528532,1000,934.408208134848,1371.39214012491,1000,871.149452454109,1254.98152933065,1000,1058.78383742161,1569.60515559202,1000,981.581798483207,1463.68212201196,1000,908.589657752747,1428.31967948745,1000,968.811949204106,1444.63125156432,1000,974.61567378272,1393.06228918716,1000,960.045819919815,1443.97147423686,1000,911.082423815671,1396.30815076283,1000,885.914219444117,1667.72268000697,1000,997.849376717512,1396.57920960835,1000,994.238617268144,1319.03731364997,1000,929.255653266332,1311.42975636206,1000,1031.60791614392,1588.42226409549,0.888888888888889
"10",1000,1050.86372360845,1660.4518094419,1000,1022.75420715809,1677.10806901168,1000,901.775101810175,1502.00977702534,1000,990.077396308791,1530.59343834948,1000,1109.74106041924,2004.10334598817,1000,983.791629707282,1425.96197386186,1000,1051.95513319832,1584.04941876091,1000,985.635271179022,1711.14506204882,1000,945.777777777778,1375.81125234664,1000,1045.42877965827,1688.91964747512,1000,890.704635547286,1416.7879459945,1000,966.824082673042,1618.0177762029,1000,944.963655244029,1409.50424653147,1000,975.15736301032,1428.33499066824,1000,939.229749746628,1338.63752117659,1
