"","Nh_real_1","Nh_basicvis_sum_1","Nh_basicvis_mean_1","Nh_PIMLEvis_1","Nh_MLEvis_1","Nh_MoSvis_1","Nh_GNSUM_1","Nh_MLE_modvis_1","Nh_TEOvis_1","Nh_Zhengvis_1","Nh_real_2","Nh_basicvis_sum_2","Nh_basicvis_mean_2","Nh_PIMLEvis_2","Nh_MLEvis_2","Nh_MoSvis_2","Nh_GNSUM_2","Nh_MLE_modvis_2","Nh_TEOvis_2","Nh_Zhengvis_2","Nh_real_3","Nh_basicvis_sum_3","Nh_basicvis_mean_3","Nh_PIMLEvis_3","Nh_MLEvis_3","Nh_MoSvis_3","Nh_GNSUM_3","Nh_MLE_modvis_3","Nh_TEOvis_3","Nh_Zhengvis_3","Nh_real_4","Nh_basicvis_sum_4","Nh_basicvis_mean_4","Nh_PIMLEvis_4","Nh_MLEvis_4","Nh_MoSvis_4","Nh_GNSUM_4","Nh_MLE_modvis_4","Nh_TEOvis_4","Nh_Zhengvis_4","Nh_real_5","Nh_basicvis_sum_5","Nh_basicvis_mean_5","Nh_PIMLEvis_5","Nh_MLEvis_5","Nh_MoSvis_5","Nh_GNSUM_5","Nh_MLE_modvis_5","Nh_TEOvis_5","Nh_Zhengvis_5","Nh_real_6","Nh_basicvis_sum_6","Nh_basicvis_mean_6","Nh_PIMLEvis_6","Nh_MLEvis_6","Nh_MoSvis_6","Nh_GNSUM_6","Nh_MLE_modvis_6","Nh_TEOvis_6","Nh_Zhengvis_6","Nh_real_7","Nh_basicvis_sum_7","Nh_basicvis_mean_7","Nh_PIMLEvis_7","Nh_MLEvis_7","Nh_MoSvis_7","Nh_GNSUM_7","Nh_MLE_modvis_7","Nh_TEOvis_7","Nh_Zhengvis_7","Nh_real_8","Nh_basicvis_sum_8","Nh_basicvis_mean_8","Nh_PIMLEvis_8","Nh_MLEvis_8","Nh_MoSvis_8","Nh_GNSUM_8","Nh_MLE_modvis_8","Nh_TEOvis_8","Nh_Zhengvis_8","Nh_real_9","Nh_basicvis_sum_9","Nh_basicvis_mean_9","Nh_PIMLEvis_9","Nh_MLEvis_9","Nh_MoSvis_9","Nh_GNSUM_9","Nh_MLE_modvis_9","Nh_TEOvis_9","Nh_Zhengvis_9","Nh_real_10","Nh_basicvis_sum_10","Nh_basicvis_mean_10","Nh_PIMLEvis_10","Nh_MLEvis_10","Nh_MoSvis_10","Nh_GNSUM_10","Nh_MLE_modvis_10","Nh_TEOvis_10","Nh_Zhengvis_10","data"
"1",1000,1090.90847438032,1090.90847438032,1101.64049415078,1097.51818385915,1101.64049415078,1075.39682539683,1097.51818385915,1102.13778810622,1115.5655806321,1000,980.951459987767,980.951459987767,996.776016003865,979.971410173608,996.776016003865,922.348484848485,979.971410173608,978.109996158638,979.001804058374,1000,1028.58747096435,1028.58747096435,1042.81943070618,1031.94684737228,1042.81943070618,1015.87301587302,1031.94684737228,1038.37116826147,1011.14855533595,1000,1042.80314383721,1042.80314383721,1050.454855433,1041.40891070668,1050.454855433,1028.68852459016,1041.40891070668,1037.39559531127,1042.95126406087,1000,910.278393791794,910.278393791794,919.147435217741,908.948376523734,919.147435217741,866.788321167883,908.948376523734,912.603018804091,923.232017217478,1000,1011.68452714414,1011.68452714414,1021.48647863773,1005.95095073951,1021.48647863773,1014.46280991736,1005.95095073951,1005.16356191732,1003.66718620261,1000,927.028858498146,927.028858498146,925.44208036489,922.762538493502,925.44208036489,872.791519434629,922.762538493502,924.416495418003,913.007688940093,1000,1035.4624152284,1035.4624152284,1043.18530381949,1031.91588738142,1043.18530381949,1013.94422310757,1031.91588738142,1037.95200612646,1054.45028279151,1000,1040.52877290881,1040.52877290881,1060.39134533384,1043.21387416316,1060.39134533384,1075,1043.21387416316,1045.14991358323,1061.62480292669,1000,961.207917602357,961.207917602357,982.373624888856,964.185948812086,982.373624888856,968.253968253968,964.185948812086,967.481864976147,968.753975030629,0.1
"2",1000,924.521449997586,924.521449997586,945.319199527053,930.123036505476,945.319199527053,897.135416666667,930.123036505476,932.459754028791,942.691908914961,1000,985.899452431128,985.899452431128,998.668168961349,984.914459172495,998.668168961349,971.428571428571,984.914459172495,990.635886373178,984.302887742093,1000,1019.8365778222,1019.8365778222,1034.02940170702,1023.16737373038,1034.02940170702,1002.7397260274,1023.16737373038,1026.41641472156,1005.15140433117,1000,963.94771798977,963.94771798977,974.989997960718,962.658914966436,974.989997960718,978.802992518703,962.658914966436,965.426829215443,963.134021738261,1000,954.105069776643,954.105069776643,959.98662545557,952.711016894579,959.98662545557,961.218836565097,952.711016894579,952.946599857932,965.544735008173,1000,979.628297132104,979.628297132104,985.356403890285,974.076394795908,985.356403890285,1059.94152046784,974.076394795908,982.459115184102,975.879561594697,1000,980.556655181832,980.556655181832,988.683229656516,976.043992565842,988.683229656516,1007.83289817232,976.043992565842,977.182093423184,960.746287072314,1000,996.902187735628,996.902187735628,1017.64580625345,993.487731240137,1017.64580625345,1030.13698630137,993.487731240137,992.152334455379,1008.24317239107,1000,1020.4879287716,1020.4879287716,1043.41777482295,1023.12131430494,1043.41777482295,981.081081081081,1023.12131430494,1025.94385841894,1036.59289006458,1000,1001.95020450793,1001.95020450793,1029.35310937943,1005.05446418472,1029.35310937943,993.31550802139,1005.05446418472,1027.20011161034,1010.45774878033,0.147368421052632
"3",1000,1075.21488757844,1075.21488757844,1094.3101322525,1081.72951112488,1094.3101322525,1094.80812641084,1081.72951112488,1085.70629287268,1095.75824124747,1000,981.588310792979,981.588310792979,993.135959432033,980.607624713379,993.135959432033,963.636363636364,980.607624713379,979.429212208817,975.443487192863,1000,985.375014623575,985.375014623575,1001.82484653016,988.593258740423,1001.82484653016,973.684210526316,988.593258740423,990.415555465737,968.313073382528,1000,1093.14387613918,1093.14387613918,1106.4966881175,1091.68233719239,1106.4966881175,1151.13636363636,1091.68233719239,1102.77960585489,1082.1837033604,1000,960.785054045522,960.785054045522,968.265107611566,959.381240968677,968.265107611566,991.397849462366,959.381240968677,960.596204998852,970.37341652263,1000,1010.72727303028,1010.72727303028,1019.67045802946,1004.99912172553,1019.67045802946,1073.62637362637,1004.99912172553,1009.80266678952,1004.53489899342,1000,910.308899126436,910.308899126436,913.616962430714,906.119526777187,913.616962430714,899.209486166008,906.119526777187,906.98390002552,889.324399901987,1000,1033.23519947855,1033.23519947855,1041.59069125533,1029.69629999409,1041.59069125533,969.635627530364,1029.69629999409,1032.78810473873,1047.31545423396,1000,1033.21106076816,1033.21106076816,1056.20281052123,1035.87727854849,1056.20281052123,1057.08245243129,1035.87727854849,1036.59799070203,1053.47161503352,1000,1023.13314537614,1023.13314537614,1042.18449278185,1026.30303441143,1042.18449278185,1049.36974789916,1026.30303441143,1035.14777669056,1030.70028527322,0.194736842105263
"4",1000,953.681236649157,953.681236649157,972.867764806884,959.459499498608,972.867764806884,989.465153970827,959.459499498608,962.28404395992,974.294344168679,1000,998.259663728763,998.259663728763,1012.03682846842,997.262321619775,1012.03682846842,970.494417862839,997.262321619775,999.837668599207,990.118615633752,1000,1038.27031133032,1038.27031133032,1057.43207786007,1041.66131198647,1057.43207786007,999.181669394435,1041.66131198647,1042.65467736558,1021.47755583612,1000,983.162850802699,983.162850802699,994.999038539105,981.848357048632,994.999038539105,974.79674796748,981.848357048632,986.866068147127,979.313536936466,1000,1023.8716367994,1023.8716367994,1030.91301255941,1022.37564725762,1030.91301255941,1103.7037037037,1022.37564725762,1020.71789359978,1036.98896912855,1000,977.40257352699,977.40257352699,981.841120917376,971.863285158886,981.841120917376,1022.53032928943,971.863285158886,973.764487655622,971.789331400172,1000,1100.08584052547,1100.08584052547,1106.07889016778,1095.02308742428,1106.07889016778,1145.83333333333,1095.02308742428,1101.26546322578,1082.47594685271,1000,1039.98253443906,1039.98253443906,1041.93107289707,1036.42052488225,1041.93107289707,1043.40567612688,1036.42052488225,1036.03134673074,1051.96059528905,1000,993.207897230735,993.207897230735,1008.76828446347,995.770886203385,1008.76828446347,1047.49568221071,995.770886203385,999.267476931564,1015.05484144126,1000,1054.14558757833,1054.14558757833,1073.77227387552,1057.41155990535,1073.77227387552,1046.51162790698,1057.41155990535,1057.56058265219,1063.64468227364,0.242105263157895
"5",1000,988.314922565147,988.314922565147,1008.18750912274,994.303027585103,1008.18750912274,1028.3540802213,994.303027585103,994.79619501103,1011.4986850435,1000,1018.43926060798,1018.43926060798,1029.1929100241,1017.42175745027,1029.1929100241,1058.18965517241,1017.42175745027,1014.72726170716,1011.11041203703,1000,1032.97928053275,1032.97928053275,1051.58141148316,1036.35300063227,1051.58141148316,1050.13927576602,1036.35300063227,1044.50223878655,1015.36930058374,1000,1027.84718700612,1027.84718700612,1037.21755328429,1026.47295006627,1037.21755328429,1053.72492836676,1026.47295006627,1043.74532138453,1024.2370412246,1000,1007.65356550105,1007.65356550105,1015.1355988305,1006.18127235262,1015.1355988305,1018.3615819209,1006.18127235262,1008.27404735126,1024.43209376805,1000,1002.86346455576,1002.86346455576,1013.13166592046,997.179880253377,1013.13166592046,1024.1134751773,997.179880253377,998.328403204205,995.524352284465,1000,909.961240170185,909.961240170185,913.24709374862,905.773467797405,913.24709374862,901.426718547341,905.773467797405,904.613964969544,891.961619411361,1000,972.944509839239,972.944509839239,985.795293983149,969.61210998874,985.795293983149,952,969.61210998874,968.571131429995,983.406394904521,1000,1024.89568462138,1024.89568462138,1048.05122924822,1027.54044443967,1048.05122924822,1028.44950213371,1027.54044443967,1032.31942843206,1048.50536901147,1000,995.03505503867,995.03505503867,1009.89156631953,998.117890078222,1009.89156631953,975.443383356071,998.117890078222,996.472923253415,1005.79810676597,0.289473684210526
"6",1000,1030.63703476561,1030.63703476561,1050.62618169639,1036.88156539115,1050.62618169639,1022.45862884161,1036.88156539115,1037.06018919411,1049.26670662524,1000,982.215364190719,982.215364190719,995.338446067946,981.23405163408,995.338446067946,956.398640996602,981.23405163408,980.980929630575,974.703824075071,1000,956.092551475456,956.092551475456,973.216203860074,959.215158790726,973.216203860074,959.816303099885,959.215158790726,960.851827672732,941.19761624877,1000,984.683180155653,984.683180155653,995.130342041529,983.366653713475,995.130342041529,973.684210526316,983.366653713475,984.722266234134,973.816759022414,1000,988.578606771183,988.578606771183,994.831820794205,987.134184244176,994.831820794205,967.873831775701,987.134184244176,986.145526490231,1000.06819013287,1000,1005.4014043108,1005.4014043108,1017.0767669401,999.703436600244,1017.0767669401,1042.37288135593,999.703436600244,1001.74092937424,995.715562405137,1000,975.856400321752,975.856400321752,979.02719655798,971.365368953973,979.02719655798,945.818610129564,971.365368953973,969.47715081765,952.061969265671,1000,1007.45605560208,1007.45605560208,1016.24465267573,1004.00545140511,1016.24465267573,966.169724770642,1004.00545140511,1002.81927122555,1020.43746136356,1000,982.252631239115,982.252631239115,999.819223492199,984.787349971459,999.819223492199,993.467933491686,984.787349971459,981.265965765409,1002.44017895236,1000,985.532382236527,985.532382236527,1007.57066113109,988.585775928726,1007.57066113109,982.572115384615,988.585775928726,989.419792584804,992.408775215481,0.336842105263158
"7",1000,1035.10733732129,1035.10733732129,1052.90249886813,1041.37895307988,1052.90249886813,1048.87218045113,1041.37895307988,1042.51526301928,1054.58119155776,1000,1013.3223540671,1013.3223540671,1029.25097023074,1012.30996311271,1029.25097023074,1023.98720682303,1012.30996311271,1018.44733677891,1007.66795589757,1000,996.949038248041,996.949038248041,1012.44352715055,1000.20508323551,1012.44352715055,1022.72727272727,1000.20508323551,999.849003794976,981.448016152958,1000,1012.94639908828,1012.94639908828,1023.4079811498,1011.592084578,1023.4079811498,1018.04670912951,1011.592084578,1014.68443727593,1007.62389428855,1000,999.244165326735,999.244165326735,1011.59816533036,997.784159240732,1011.59816533036,1001.57894736842,997.784159240732,998.934270988619,1009.7415797534,1000,1043.63907657066,1043.63907657066,1051.95746878095,1037.72440235767,1051.95746878095,1071.34894091416,1037.72440235767,1042.4481628883,1036.37711166008,1000,1045.38940614538,1045.38940614538,1053.05989135853,1040.57837389412,1053.05989135853,1003.63447559709,1040.57837389412,1040.4508916809,1021.1492108634,1000,991.602247044974,991.602247044974,1000.23058894965,988.205943199904,1000.23058894965,969.758064516129,988.205943199904,988.461463098755,1004.31593187818,1000,957.55908532629,957.55908532629,975.061497747811,960.03008196576,975.061497747811,936.941410129096,960.03008196576,960.351608301291,977.247728711797,1000,991.269648279431,991.269648279431,1004.94811970566,994.340817269795,1004.94811970566,1001.04712041885,994.340817269795,995.797552996804,999.493902179946,0.384210526315789
"8",1000,1052.15548105644,1052.15548105644,1068.83510536742,1058.53038987754,1068.83510536742,1075.54671968191,1058.53038987754,1058.28690263886,1071.87628625801,1000,980.409791033055,980.409791033055,994.092451016754,979.430282389974,994.092451016754,981.312670920693,979.430282389973,977.781499681232,975.215020315061,1000,966.808010223635,966.808010223635,986.419011948839,969.965614328517,986.419011948839,973.394495412844,969.965614328517,969.261517075018,947.883723833876,1000,991.537383796444,991.537383796444,1003.68825388332,990.211693248983,1003.68825388332,1004.6992481203,990.211693248983,991.108100778793,988.436560194732,1000,997.701196749982,997.701196749982,1006.86477645184,996.243445111481,1006.86477645184,1016.33045148895,996.243445111481,1003.32849164803,1011.90608864818,1000,995.500536127528,995.500536127528,1004.61847090139,989.858680161963,1004.61847090139,1049.25373134328,989.858680161963,989.958140110407,987.954686146698,1000,1007.21496940024,1007.21496940024,1011.15596894821,1002.57962139188,1011.15596894821,1018.90359168242,1002.57962139188,1003.88345122779,988.432049308746,1000,999.947273833957,999.947273833957,1012.44722936247,996.522387715445,1012.44722936247,987.120515179393,996.522387715445,1001.85750260114,1012.93209647351,1000,971.534686222301,971.534686222301,986.926909703256,974.041747124935,986.926909703256,983.992467043315,974.041747124935,974.560057880467,989.964081739032,1000,1029.62531893868,1029.62531893868,1043.95632945524,1032.81532213983,1043.95632945524,1009.32835820896,1032.81532213983,1036.04810408358,1040.1969172736,0.431578947368421
"9",1000,1000.51100785706,1000.51100785706,1020.13733916245,1006.57300778429,1020.13733916245,1032.05128205128,1006.57300778429,1007.9634639168,1024.84550000668,1000,1023.61279503546,1023.61279503546,1036.50777351825,1022.5901230986,1036.50777351825,1036.84661525278,1022.5901230986,1030.872251714,1016.86553034337,1000,1008.02358121956,1008.02358121956,1026.01020932381,1011.31579576911,1026.01020932381,993.44262295082,1011.31579576911,1008.7760723797,990.335730755316,1000,1041.42766006784,1041.42766006784,1053.68165983466,1040.03526596613,1053.68165983466,1056.98371893745,1040.03526596613,1040.84298341482,1037.79845525683,1000,975.308557998346,975.308557998346,983.436403624684,973.883524478193,983.436403624684,996.18320610687,973.883524478193,975.213268415037,983.926593531852,1000,985.828948422604,985.828948422604,992.306767690807,980.241904787931,992.306767690807,1008.72817955112,980.241904787931,979.610193263638,980.48983526468,1000,998.754225859137,998.754225859137,1005.7019803087,994.157815408218,1005.7019803087,971.705739692805,994.157815408218,994.183983443447,978.76234939096,1000,1004.63248811094,1004.63248811094,1014.46459566032,1001.19155482098,1014.46459566032,982.463295269168,1001.19155482098,999.741671146536,1017.55541522583,1000,955.017884625419,955.017884625419,973.49449428644,957.482323655558,973.49449428644,939.822294022617,957.482323655558,960.317860939468,976.722066554926,1000,1009.31339092743,1009.31339092743,1028.45758053127,1012.44046335738,1028.45758053127,1003.71287128713,1012.44046335738,1013.8032951098,1019.92891159476,0.478947368421053
"10",1000,1030.89884557964,1030.89884557964,1049.94837586601,1037.1449624917,1049.94837586601,1042.74809160305,1037.1449624917,1038.4831730528,1053.83768551223,1000,966.610761808274,966.610761808274,980.157279964484,965.645039510979,980.157279964484,948.023426061493,965.645039510979,966.318659933638,960.859016134513,1000,996.390112405791,996.390112405791,1012.20149159105,999.64433193617,1012.20149159105,1001.93199381762,999.64433193617,998.186132108586,980.555733166286,1000,977.646947015978,977.646947015978,989.664786290557,976.339828053453,989.664786290557,980.855855855856,976.339828053453,973.280332418645,972.884834210849,1000,994.638028395828,994.638028395828,1006.61631041489,993.184752384601,1006.61631041489,1024.0157480315,993.184752384601,994.292219409472,1006.07748004884,1000,1004.9092773088,1004.9092773088,1013.7961336807,999.214098657178,1013.7961336807,1029.16018662519,999.214098657178,1002.49366286959,997.207332061109,1000,1020.33541155979,1020.33541155979,1022.5168934038,1015.63968139144,1022.5168934038,1044.23380726698,1015.63968139144,1014.06269126871,1002.23359191389,1000,1019.03485381639,1019.03485381639,1028.73889837144,1015.54459146312,1028.73889837144,1020.89783281734,1015.54459146312,1017.15368232047,1031.18327269326,1000,987.239536880186,987.239536880186,1004.46711483836,989.787124402841,1004.46711483836,1015.01154734411,989.787124402841,994.967750669258,1003.23524592039,1000,996.824403914199,996.824403914199,1014.00558821335,999.912782745784,1014.00558821335,998.108925869894,999.912782745784,1000.83427953509,1004.93132563224,0.526315789473684
